Rezept-ID;Rezeptname;Bild;Zubereitung;Zutat 1;Menge 1;Zutat 2;Menge 2;Zutat 3;Menge 3;Zutat 4;Menge 4;Zutat 5;Menge 5;Zutat 6;Menge 6;Zutat 7;Menge 7;Zutat 8;Menge 8;Zutat 9;Menge 9;Zutat 10;Menge 10;Zutat 11;Menge 11;Zutat 12;Menge 12;Zutat 13;Menge 13;Zutat 14;Menge 14;Zutat 15;Menge 15;Zutat 16;Menge 16;Zutat 17;Menge 17;Zutat 18;Menge 18;Zutat 19;Menge 19;Zutat 20;Menge 20;ganzes Rezept;Inhalt;Rezept-Beschreibung;Zubereitungszeit;Schwierigkeitsgrad;Hauptkategorie;Unterkategorie 1;tags;Tipps;Link, Quelle
29;Pellkartoffeln mit Hüttenkäse-Dip;;"1. Eier 10 Min. hart kochen, abschrecken, abkühlen lassen und pellen. Kartoffeln in reichlich kochendem Wasser ca. 25 Min. garen.
2. Salatgurke und die Eier klein würfeln. Zwiebel in dünne Ringe schneiden. Hüttenkäse mit Gurke, Ei, Zwiebel, Meersalz, Pfeffer und Gartenkresse verrühren.
3. Kartoffeln pellen. Mit Meersalz und Kresse bestreut zum Hüttenkäse-Dip servieren.";Ei;1;festkochende Kartoffeln;200 g;Salatgurke;25 g;rote Zwiebel;0.5;Hüttenkäse;100 g;Gartenkresse;4 EL;Meersalz, Pfeffer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Laktose,Halal;;35;einfach;Mittagessen;Vegetarisch;Mittagessen,Vegetarisch,Laktose,Halal,Herzhaft,Kartoffel;;https://www.essen-und-trinken.de/rezepte/44184-rzpt-pellkartoffeln-mit-huettenkaese-dip
30;Überbackene Ofenkartoffeln;;"1. Brokkoli waschen, in kleine Röschen teilen und für ca. 3 Minuten in kochendes Wasser geben. Anschließend in einem Sieb gut abtropfen lassen.
2. Kartoffeln waschen, in einem Topf mit kaltem Wasser aufsetzen und ca. 15-20 Minuten kochen, bis die Kartoffeln bissfest sind. Anschließend etwas abkühlen lassen.
3. In einer Schüssel den geriebenen Käse (etwas Käse für das Überbacken frech zurück behalten), Senf und Ei vermengen.
Die abgetropften Brokkoliröschen evtl. noch etwas kleiner schneiden, zur Käse-Masse geben und nochmal vermengen.
4. Die lauwarmen Kartoffeln in Hälften schneiden und mit einem Esslöffel aushöhlen. Die Kartoffelmasse zur restlichen Käse-Brokkoli-Masse untermischen. Abschließend die ausgelöffelten Hälften mit der Masse füllen, mit etwas Käse bestreuen und bei 200 Grad für 15 Minuten in den Ofen.";Kartoffel;1;kleiner Brokkoli;0.3;Senf;0.3 EL;Ei;0.3;geriebener Käse;12.5 g;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Laktose,Halal;;45;einfach;Mittagessen;Vegetarisch;Mittagessen,Fleisch,Laktose,Halal,Kartoffel,Herzhaft;;https://frechefreunde.de/rezepte-fuer-kinder/ueberbackene-ofenkartoffeln/
31;Bärenkuchen;;"Rührteig
1. Butter oder Margarine in einer Rührschüssel mit einem Mixer (Rührstäbe) geschmeidig rühren. Zucker und Vanillin-Zucker unter Rühren hinzufügen, bis eine gebundene Masse entsteht. Jedes Ei etwa ½ Min. auf höchster Stufe unterrühren. Mehl mit Backin mischen und auf mittlerer Stufe in 2 Portionen kurz unterrühren. 1/3 des Teiges in die kleine Springform füllen und glatt streichen. Den übrigen Teig mit Kakao und Milch verrühren. Dunkeln Teig in die große Springform füllen und glatt streichen. Beide Formen zusammen auf dem Rost in den Backofen schieben.
Etwa 30 Minuten lang bei 180°C (Ober-/Unterhitze) backen.
2. Die Böden jeweils aus der Form lösen, auf 2 mit Backpapier belegte Kuchenroste stürzen und erkalten lassen.
Aus dem hellen Boden 3 runde kleine Böden (Ø 7,5 cm) für die Ohren und die Nase ausstechen. Die beiden Böden für die Ohren waageerecht durchschneiden. Jeweils etwa ein Drittel senkrecht abschneiden. Für die Nase den Boden waagerecht durchscneiden. Einen halben Boden und die Gebäckreste in einer Schale zerbröseln. Vom dunklen Boden einen etwa 2 cm breiten Rand abschneiden, am besten mit Hilfe eines Tortenrings und ebenfalls in einer Schale zerbröseln. Boden waagerecht durchschneiden.

Füllung
1. Den unteren dunklen Boden und die Unterseiten der Ohren auf eine Tortenplatte legen. Sahne mit Sahnesteif steif schlagen. Nuss-Nougat-Creme kurz unterrühren. Die Hälfte der Sahne auf den unteren Böden verstreichen. Oberen Boden und Oberseite der Ohren auflegen, leicht andrücken und mit der übrigen Creme einstreichen. Nase auflegen und ebenfalls einstreichen. Kuchen mit den dunklen und hellen Gebäckbröseln nach Belieben bestreuen. Die Brösel evtl. leicht andrücken. Die Torte etwa 1 Std. kalt stellen.

Verzieren
1. 2/3 des Marzipans mit dem Kakao verkneten. Das helle Marzipan zwischen einem aufgeschnittenen Gefrierbeutel ausrollen und 2 Taler (Ø 4 cm) ausstechen und als Augen auf den Kuchen legen. Dunkles Marzipan in 4 gleich große Portionen teilen. 3 Portionen zu Kugeln formen und etwas flach drücken. Als Pupillen und Nase auf den Kuchen legen. Eine Portion zu einer kleinen Rolle formen, halbieren und an die Nase legen.";weiche Butter oder Margarine;250 g;Zucker;200 g;Vanillin-Zucker;1 Pck.;Eier;5;Weizenmehl;275 g;Backpulver;3 gestr. TL;Kakaopulver;3 EL;Milch;2 EL;kalte Schlagsahne;200 g;Sahnesteif;1 Pck.;Nuss-Nougat-Creme;1 EL;Marzipan Rohmasse;25 g;;;;;;;;;;;;;;;;;x;Laktose,Weizen,Gluten,Nüsse,Halal;Teddybär-Rührteig-Torte;60;mittel;Nachtisch/Snack;Süßes;Nachtisch/Snack,Süßes,Laktose,Weizen,Gluten,Nüsse,Halal,Kuchen,Backen,Süßes;;https://www.oetker.de/rezepte/r/baerenkuchen
32;Cremige Zuckerstreusel-Rolle;;"Biskuitteig
1. Eier und Eigelb in einer Rührschüssel mit einem Mixer (Rührstäbe) auf höchster Stufe 1 Min. schaumig schlagen. Mit Vanillin-Zucker gemischten Zucker unter Rühren in 1 Min. einstreuen und die Masse weitere 2 Min. schlagen.
2. Mehl mit Backpulver mischen und kurz auf niedrigster Stufe unterrühren. Teig auf dem Blech glatt streichen und bei etwa 200°C (Ober-/Unterhitze) für 10 Minuten backen.

Füllung
1. Mitgebackenes Backpapier vorsichtig von der Biskuitplatte abziehen. Sahne mit Sahnesteif steif schlagen und den Pudding unterrühren. Etwa 3/4 der Pudding-Sahne-Creme auf der Biskuitplatte verstreichen, dabei an den langen Seiten etwa 1 cm Rand frei lassen und üppig mit Zuckerstreuseln bestreuen.
2. Die Platte von der langen Seite her aufrollen, mit der übrigen Creme einstreichen und mit Zuckerstreuseln bestreuen.";Eier;4;Eigelb;1;Zucker;70 g;Vanillin-Zucker;1 Pck.;Weizenmehl;80 g;Backpulver;1 Msp.;kalte Schlagsahne;400 g;Sahnesteif;3 Pck.;Vanille Pudding;300 g;Zuckerstreusel;100 g;;;;;;;;;;;;;;;;;;;;;x;Laktose,Weizen,Gluten,Halal;Mit feinem Vanillepudding gefüllte Biskuitrolle, umhüllt mit bunten Zuckerstreuseln;40;mittel;Nachtisch/Snack;Süßes;Nachtisch/Snack,Süßes,Laktose,Weizen,Gluten,Halal,Kuchen,Backen,Süßes;;https://www.oetker.de/rezepte/r/cremige-zuckerstreusel-rolle
33;Edle Ritter;;"1. Milch in einen Rührbecher geben. Soßenpulver hinzufügen und alles gut mit einem Schneebesen verrühren. Soße bis zum Servieren in den Kühlschrank stellen.
2. Brotscheiben diagonal oder quer halbieren. Sahne, Milch, Eier, Zucker und Vanillin-Zucker in einer flachen Schüssel verrühren. Brotstücke nacheinander hineintauchen und darin wenden.
3. Etwas Butterschmalz in einer beschichteten Pfanne erhitzen. Die getränkten Brotstücke portionsweise bei mittlerer Hitze von beiden Seiten goldbraun braten. Die ""edlen Ritter"" mit Dessert-Soße und Kirsch-Grütze am besten heiß servieren.";Milch;250 ml;Vanillesoße;1 Pck.;Rosinenbrot;8 Scheiben;Schlagsahne;200 g;Milch;100 ml;Eier;2;Zucker;1 EL;Vanillin-Zucker;1 Pck.;Butterschmalz;2 EL;Kirschgrütze;1 Becher;;;;;;;;;;;;;;;;;;;;;x;Laktose,Halal;Eine süße Mahlzeit aus Rosinenbrot mit Kirschgrütze und Vanillesoße;40;einfach;Nachtisch/Snack;Süßes;Nachtisch/Snack,Süßes,Laktose,Halal,Süßes;;https://www.oetker.de/rezepte/r/edle-ritter
34;Fußballbuchteln;;"1. Mehl in eine Schüssel sieben. Hefe hineinbröckeln, Milch, Zucker, 50 g weiche Butter, Eier und 1 Prise Salz dazugeben. Alles mit den Knethaken des Handrührers ca. 5 Min. kneten.
2. Den Teig halbieren und das Kakaopulver unter die eine Hälfte kneten. Beide Teige in Schüsseln abgedeckt 40 Min. gehen lassen.
3. Aprikosen- und Himbeerkonfitüre getrennt durch ein Sieb streichen.
4. Teige auf einer bemehlten Arbeitsfläche zu Rollen von etwa 12 cm Länge formen und jede in 6 Scheiben schneiden. Aprikosenkonfitüre auf den Schokoteig, Himbeerkonfitüre auf den weißen Teig geben. Teig fest darüberschlagen und zu Kugeln formen.
5. 50 g Butter zerlassen und die Kugeln darin wenden. Mit der Naht nach unten in eine gefettete Springform (24 cm Ø) legen. 15 Min. gehen lassen.
6. Im vorgeheizten Ofen bei 180 Grad (Umluft 160 Grad) auf der 2. Schiene von unten 25 Min. backen. Mit Puderzucker bestäuben. Dazu passt Vanillesauce.";Mehl;66 g;frische Hefe;4 g;lauwarme Milch;26 g;Zucker;12.5 g;Butter;16 g;2 Eier;0.33;Salz;;Kakaopulver;3.3 g;Aprikosenkonfitüre;16 g;Himbeerkonfitüre;16 g;Mehl;;Puderzucker;;;;;;;;;;;;;;;;;;;Laktose,Gluten,Weizen,Halal;;40;mittel;Nachtisch/Snack;Süßes;Nachtisch/Snack,Süßes,Laktose,Gluten,Weizen,Halal,Süß;;https://www.essen-und-trinken.de/rezepte/32192-rzpt-fussballbuchteln
35;Apfel-Pancakes;;"Für 4 Portionen:
1. Himbeeren auftauen lassen, mit dem Schneidstab pürieren und durch ein feines Sieb streichen. Mit dem Zucker süßen. Apfel schälen, entkernen und in dünne Spalten schneiden. Mit 2 El Zitronensaft beträufeln.
2. Mehl, Backpulver, Vanillezucker und 1 Prise Salz mischen. Eier mit einem Schneebesen unterrühren, dann nach und nach die Milch und 1 El Zitronensaft einrühren.
3. 1 El Butterschmalz in einer beschichteten Pfanne erhitzen. Esslöffelgroße Teigportionen in die Pfanne geben, mit 1-2 Apfelspalten belegen und bei mittlerer Hitze auf jeder Seite 2 Min. backen. Auf einem Teller im heißen Ofen bei 100 Grad warm halten und den übrigen Teig ebenso verarbeiten. Mit der Himbeersauce servieren.";TK-Himbeeren;75 g;Zucker;0.75 EL;Apfel;0.25;Zitronensaft;0.75 EL;Mehl;50 g;Backpulver;0.25 Pck.;Vanillezucker;0.5 Pck.;Salz;;Eier;0.5;Milch;62.5 ml;Butterschmalz;0.5 EL;;;;;;;;;;;;;;;;;;;;Laktose,Gluten,Weizen,Halal;;45;einfach;Nachtisch/Snack;Süßes;Nachtisch/Snack,Süßes,Laktose,Gluten,Weizen,Halal,Obst,Süß;;https://www.essen-und-trinken.de/rezepte/43829-rzpt-apfel-pancakes
36;Apfelplätzchen;;"Für 8 Stücke:
1. 1 Ei, 3 El Mehl, 80 ml Milch, 1 Prise Salz und 1 Pk. Vanillezucker zu einem glatten Teig verrühren.
2. 1 großen, säuerlichen Apfel schälen, entkernen und in kleine Stücke schneiden. Apfelstücke unter den Teig mischen. 40 g Butterschmalz in einer beschichteten Pfanne erhitzen. Den Teig esslöffelweise in die Pfanne geben und nacheinander kleine, goldbraune Apfelplätzchen backen.
3. 2 El Zucker und etwas Zimtpulver mischen und die Plätzchen damit bestreuen.";Eier;0.125;Mehl;0.75 EL;Milch;10 ml;Salz;;Bourbon-Vanillezucker;0.125 Pck.;Zucker;0.25 EL;Apfel;0.125;Zimt;;Butterschmalz;5 g;;;;;;;;;;;;;;;;;;;;;;;;Laktose,Gluten,Weizen,Halal;;25;einfach;Nachtisch/Snack;Süßes;Nachtisch/Snack,Süßes,Laktose,Gluten,Weizen,Halal,Obst,Süß;;https://www.essen-und-trinken.de/rezepte/52727-rzpt-apfelplaetzchen
37;Gesundes Eis am Stiel;;"1. Zwei Kiwis schälen und zusammen mit etwas Zitronensaft pürieren, die dritte Kiwi sowie die Erdbeeren in Scheiben schneiden.
Die Fruchtscheiben innen an den Eisbereiter drücken und mit Kiwipüree auffüllen.
2. Die Mango schälen und zusammen mit etwas Zitronensaft pürieren.
Die Himbeeren halbieren und abwechselnd mit Mangopüree in den Eisbereiter geben.
3. Die Formen über Nacht ins Gefrierfach stellen und am nächsten Tag genießen.";Kiwis;1;Erdbeeren;2;Mango;0.25;Himbeeren;0.25;Zitrone;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Halal;;10;einfach;Nachtisch/Snack;Obst;Nachtisch/Snack,Obst,Halal;;
38;Himbeer Pralinen;;"1. Himbeeren in eine Schüssel geben und mit einem Kartoffelstampfer oder einer Gabel klein stampfen. Danach die Haferflocken, Kokosraspeln, gehackte Mandeln und das Kokosöl dazugeben und gut vermengen. Am einfachsten geht das ganz frech mit den Händen.
2. Wenn alles gut vermengt ist, kleine Pralinen formen und genießen.";gefrorene Himbeeren;31.3 g;ungesüßte Kokosraspeln;6.8 g;Haferflocken;25 g;gehackte Mandeln;10 g;geschmolzenes Kokosöl;0.3 TL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nüsse,Halal;;10;einfach;Nachtisch/Snack;Süßes;Nachtisch/Snack,Süßes,Halal,Obst,Süß;;https://frechefreunde.de/rezepte-fuer-kinder/hansis-himbeer-pralinen/
39;Kakaobanane;;"1. Bananen schälen und in kleine Scheiben schneiden. Danach Bananenscheiben auf einen Teller anrichten.
2. Kakao und Kakao-Pulver in den Puderzuckerstreuer füllen.
3. Mit dem Streuer oder Löffel etwas Kakaogemisch auf die Bananen streuen und einen Moment warten, bis aus dem Pulver langsam eine glasurartige Schicht wird.";Bananen;;Kakao;1 Tasse;Kakaogetränkepulver;1 Tasse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Halal;;5;einfach;Nachtisch/Snack;Süßes;Nachtisch/Snack,Süßes,Halal,Obst,Süß;;"""Das Kita-Kinder-Kochbuch"", S.33"
40;Karamellherzen;;"1. Butter, Zucker und Vanillezucker mit den Quirlen des Handrührers 8 Min. schaumig schlagen. Eier nacheinander jeweils 1/2 Min. unterrühren. Mehl und Backpulver mischen und kurz unterrühren. Ein Waffeleisen mit Herzform erhitzen, mit etwas Öl fetten und nacheinander 6-8 Waffelnbacken. Die fertigen Waffeln in einzelne Herzen schneiden.
2. Puderzucker sieben und in 2 Portionen in einer Pfanne bei mittlerer Hitze schmelzen, bis er goldgelb wird. Pfanne vom Herd ziehen und die Waffelherzen vorsichtig in den Karamell tauchen, dann nebeneinander auskühlen lassen. Dazu passt Apfelkompott.
3. Der geschmolzene Puderzucker ist sehr heiß!";weiche Butter;25 g;Zucker;16 g;Vanillezucker;0.125 Pck.;Eier;0.5;Mehl;0.25 g;Backpulver;0.125 TL;Öl;;Puderzucker;50 g;;;;;;;;;;;;;;;;;;;;;;;;;;Gluten,Weizen,Halal;;5;einfach;Nachtisch/Snack;Süßes;Nachtisch/Snack,SüßesGluten,Weizen,Halal,Süß;,;https://www.essen-und-trinken.de/rezepte/44631-rzpt-karamellherzen
41;KiBa-Pfannkuchen;;"Für 4 Portionen:
1. Dinkelmehl, eine Prise Salz, Milch und Vanillezucker in einer Schüssel verrühren. Butter zerlassen. Erst das Ei, dann die Butter unterrühren. 20 Min. quellen lassen.
2. Kirschen halbieren und entsteinen. Banane schälen und in 1 cm dicke Scheiben schneiden.
3. Eine beschichtete Pfanne (18 cm ø) erhitzen und 1/4 des Teiges in die Pfanne geben. 1/4 der Kirschen und Bananen darauf streuen und 2 Min. braten lassen. Den Pfannkuchen mit einer breiten Palette wenden und von der zweiten Seite ebenfalls 2 Min. braten lassen. 4 Pfannkuchen herstellen und mit Puderzucker bestreut servieren.";Dinkelmehl;37.5 g;Salz;;Milch;62.5 ml;Vanillezucker;0.25 Pck.;Butter;5 g;Eier;0.25;Kirschen;50 g;Bananen;62.5 g;Puderzucker;0.25 EL;;;;;;;;;;;;;;;;;;;;;;;;Laktose,Gluten,Weizen,Halal;;20;einfach;Nachtisch/Snack;Süßes;Nachtisch/Snack,Süßes,Laktose,Gluten,Weizen,Halal,Obst,Süß;;https://www.essen-und-trinken.de/rezepte/54732-rzpt-ki-ba-pfannkuchen
42;Mini-Amerikaner;;"Für 24 Portionen: 1. Butter, Zucker, Vanillezucker und 1 Prise Salz mit den Quirlen des Handrührers 5 Minuten cremig rühren. Eier nacheinander je 1 Min. unterrühren. Vanillepuddingpulver, Mehl und Backpulver mischen und kurz unterrühren. Milch ebenfalls kurz unterrühren.
2 .Teig in einen Spritzbeutel ohne Tülle einfüllen. Auf 2 mit Backpapier belegte Backbleche in genügendem Abstand 4 cm große Teigkreise spritzen. Im heißen Ofen bei 190° (Umluft 170°) auf der mittleren Schiene ca. 15 Min. backen.
3. Gebäck auf einem Kuchengitter abkühlen lassen. Inzwischen je 1 Beutel dunkle Schokoladenglasur und 1 Beutel Zitronenglasur nach Packungsanweisung schmelzen. 12 Amerikaner auf der Unterseite mit Schokoladenglasur und, 12 Amerikaner mit Zitronenglasur überziehen und sofort mit Mini-Smarties verzieren.";weiche Butter;4 g;Zucker;4 g;Vanillezucker;0.04 Pck.;Salz;;Eier;0.08;Vanille-Puddingpulver;0.04 Pck.;Mehl;10.5 g;Backpulver;0.125 TL;Milch;0.125;Schokoladenglasur;0.04 Beutel;Zitronenglasur;0.04 Beutel;Mini-Smarties;;;;;;;;;;;;;;;;;;;Laktose,Gluten,Weizen,Halal;;60;mittel;Nachtisch/Snack;Süßes;Nachtisch/Snack,Süßes,Laktose,Gluten,Weizen,Halal,Süß;;https://www.essen-und-trinken.de/rezepte/44250-rzpt-mini-amerikaner
43;Pudding-Eier;;"Für 4 Portionen:
1. Eier am spitzen Ende leicht anschlagen. Die Spitzen entfernen, das Innere herauslaufen lassen und anderweitig, z. B. für Rührei, verwenden. Die Schalen auswaschen und kopfüber auf Küchenpapier abtropfen lassen.
2. Gelatine in kaltem Wasser einweichen. Milch aufkochen. Vanille-Puddingpulver mit Zucker, Vanillezucker und Schlagsahne glatt rühren. Die Mischung in die Milch rühren und erneut kurz aufkochen. Vom Herd ziehen und die ausgedrückte Gelatine darin auflösen. Pudding in die Eierschalen füllen, Schalen in den Eierkarton setzen und den Pudding über Nacht im Kühlschrank fest werden lassen.
3. Waldmeister-Götterspeise nach Packungsanweisung zubereiten. In eine flache Schale (30x20 cm) geben und fest werden lassen. Dann stürzen und würfeln. Die Pudding-Eier vorsichtig pellen und auf der Götterspeise anrichten. Mit je 1/2 Tl Aprikosenkonfitüre garnieren.";Eier;2;weiße Gelatine;0.75 Blätter;Milch;112.5 ml;Vanille-Puddingpulver;0.25 Pck.;Zucker;10 g;Vanillezucker;0.25 Pck.;Schlagsahne;1.5 EL;Waldmeister-Götterspeise;0.25 Tüte;Aprikosenkonfitüre;1 TL;;;;;;;;;;;;;;;;;;;;;;;;Laktose;;30;einfach;Nachtisch/Snack;Süßes;Nachtisch/Snack,Süßes,Laktosel,Süß;;https://www.essen-und-trinken.de/rezepte/36330-rzpt-pudding-eier
44;Quarkspeise;;"1. Quark in eine Schüssel geben und einmal durchrühren.
2. Vollmilch und den Zitronensaft dazu und  nochmals durchrühren.
3. Mit Vanillezucker und Zucker absüßen.";Quark;125 g;Milch;0.125 Tasse;Zitrone;0.125;Vanillezucker;0.25 Pck.;Zucker;0.5 EL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Laktose,Halal;;10;einfach;Nachtisch/Snack;Quark & Co;Nachtisch/Snack,Quark & Co,Laktose,Halal,Süß;mit Mandarinen abwandelbar,  mit Saft oder Amarettini und Amaretto süßen;https://www.chefkoch.de/rezepte/1016131206812618/Quarkspeise.html?portionen=1
45;Schokotaler;;"Für 20 Personen:
1. 40 g gehackte Haselnusskerne in einer Pfanne ohne Fett goldbraun rösten und auf einem Teller abkühlen lassen.
2. 200 g Vollmilchschokolade fein hacken und in einer kleinen Metallschüssel im warmen Wasserbad schmelzen, dabei gelegentlich umrühren. Schüssel in ein kaltes Wasserbad stellen und unter sanftem Rühren abkühlen. Schokolade esslöffelweise zügig auf zwei mit Backpapier ausgelegte Bleche klecksen. Bleche mehrmals leicht auf die Arbeitsfläche stoßen, damit die Schokolade zu Talern verläuft. Schoko -Taler mit Nüssen und 4 El bunten Schokolinsen (z.B. Mini-Smarties, ca. 32 g) bestreuen und fest werden lassen.
3. Statt Nüssen eignen sich auch geröstete Erdnusskerne oder Mandelsplitter.";gehackte Haselnusskerne;2 g;Vollmilchschokolade;10 g;bunte Schokolinsen;0.2 EL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nüsse,Halal;;35;einfach;Nachtisch/Snack;Süßes;Nachtisch/Snack,Süßes,Nüsse,Halal,Süß;;https://www.essen-und-trinken.de/rezepte/50929-rzpt-schoko-taler
46;Tassen-Käsekuchen;;"Für 4 Portionen:
1. 4 ofenfeste Tassen (à 200 ml) mit weicher Butter ausstreichen. Getrocknete Aprikosen fein würfeln. 50 g weiche Butter, Zucker und Vanillezucker mit den Quirlen des Handrührers ca. 5 Min. schaumig rühren. Eier zugeben und weitere 5 Min. rühren.
2. Magerquark, Grieß, Backpulver, Zitronenschale, Zitronensaft, Aprikosen und Mandelstifte unterrühren.
3. Quarkmasse in die gefetteten Tassen füllen. Im vorgeheizten Ofen bei 180 Grad auf der 2. Schiene von unten 20-25 Min. backen. Mit Puderzucker bestäuben.";weiche Butter;12.5 g;getrocknete Aprikosen;7.5 g;Zucker;20 g;Vanillezucker;0.25 Pck.;Eier;0.75;Magerquark;62.5 g;Grieß;0.5 EL;Backpulver;0.25 TL;abgeriebene Zitronenschale;0.25 TL;Zitronensaft;0.5 EL;Mandelstifte;0.5 EL;Puderzucker;0.5 TL;;;;;;;;;;;;;;;;;;Laktose,Weizen,Gluten,Halal;;45;mittel;Nachtisch/Snack;Süßes;Nachtisch/Snack,Süßes,LaktoseGluten,Weizen,Halal,Obst,Süß;;https://www.essen-und-trinken.de/rezepte/36255-rzpt-tassen-kaesekuchen
47;Überraschungsmuffins;;"Für 12 Portionen:
1. 250 ml Milch erhitzen. 80 g Nussnougat in kleine Stücke schneiden und in der Milch auflösen. Die Nougatmilch abkühlen lassen. 12 verschiedene kleine Süßigkeiten (z.B. Marzipankartoffeln, Schokobonbons, Karamell-Toffees etc.) auspacken.
2. 250 g Mehl mit 50 g gemahlenen Haselnusskernen, 2,5 Tl Backpulver und 0,5 Tl Natron mischen. 1 Ei (Kl.M), 6 El Öl und die kalte Nougatmilch mit den Quirlen des Handrührers unterrühren, bis alle Zutaten gleichmäßig verrührt sind. Den Teig in ein gefettetes Muffinblech mit 12 Mulden füllen. In jede Teigportion 1 Süßigkeit drücken. Im heißen Ofen bei 180 Grad (Umluft 160 Grad) auf der mittleren Schiene 20-25 Min. backen. In der Form abkühlen lassen.
3. 100 g Vollmilchkuchenglasur nach Packungsanweisung schmelzen und auf den Muffins verteilen. Nach Belieben mit den jeweiligen Süßigkeiten verzieren.";Milch;21 ml;Nussnougat;7 g;verschiedene kleine Süßigkeiten;;Mehl;8 g;gemahlene Haselnusskerne;4 g;Backpulver;0.2 TL;Natron;0.04 TL;Eier;0.1;Öl;0.5 EL;Vollmilchkuchenglasur;8 g;;;;;;;;;;;;;;;;;;;;;;Laktose,Gluten,Weizen,Nüsse,Halal;;45;mittel;Nachtisch/Snack;Süßes;Nachtisch/Snack,Süßes,Laktose,Gluten,Weizen,Nüsse,Halal,Süß;;https://www.essen-und-trinken.de/rezepte/40463-rzpt-ueberraschungsmuffins
48;Weihnachtliches Schichtdessert;;"1. Den Backofen auf 180˚ Umluft vorheizen. Äpfel und Birnen schälen, vom Kerngehäuse befreien und in grobe Würfel schneiden. Das Obst in einer Auflaufform mit Zimt vermengen und für 20 Minuten auf mittlerer Schiene backen, zwischenzeitlich nach 10 Minuten umrühren.
2. Chiasamen und Milch in einem kleinen Glas verrühren und für 5 Minuten quellen lassen, zwischendurch immer wieder umrühren. Anschließend die gequollenen Samen in das Joghurt einrühren.
3. Den Zwieback in eine Klarsicht-Tüte geben und mit einem Hammer oder der Kante eines Kuchenhebers in Johannisbeer-große Krümel zerkleinern.
4. Das Obst etwas abkühlen lassen und pürieren.
5. Chia-Joghurt und Obst-Zimt-Püree abwechselnd in kleinen Gläsern schichten, zum Schluss mit Zwieback-Krümeln garniert servieren.";saure Äpfel;112.5 g;Birnen;75 g;Zwieback;;Ceylon-Zimt;0.3 TL;Milch;1.3 EL;gehäufter Chiasamen;0.3 TL;Joghurt;62.5 g;;;;;;;;;;;;;;;;;;;;;;;;;;;;Laktose,Halal;;30;einfach;Nachtisch/Snack,Anlässe;Quark & Co,Weihnachten;Nachtisch/Snack,Anlässe,Quark & Co,Weihnachten,Laktose,Halal,Obst,Süß;;https://frechefreunde.de/rezepte-fuer-kinder/weihnachtliches-schichtdessert/
49;Brokkoli Pesto;;"1. Die Nudeln nach Packungsanleitung kochen.
2. Währenddessen Parmesan mit einer Reibe fein reiben. Brokkoli in Röschen schneiden oder brechen und kochen, bis er weich ist. (4-8 Minuten)
3. Den gekochten Brokkoli, Olivenöl, Basilikum, Parmesan und den Saft der Zitrone in eine Schüssel geben und alles gut pürieren.
4. Jetzt kann man die Nudeln entweder mit zu dem Pesto mischen oder separat servieren.";Brokkoli;0.3 Kopf;Nudeln;125 g;geriebener Parmesan;12.5 g;Olivenöl;0.8 EL;Zitrone (Saft);0.1;gehackter Basilikum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Laktose,Weizen,Gluten,Halal;;20;einfach;Mittagessen;Pasta & Co;Mittagessen,Pasta & Co,Laktose,Gluten,Weizen,Halal,Herzhaft;;https://frechefreunde.de/rezepte-fuer-kinder/beas-brokkoli-pesto/
50;Bunter Nudelauflauf mit Schinken;;"1. Für den Auflauf die Nudeln in Salzwasser garen.
2. Das Öl erhitzen, Paprikawürfel zufügen und ca. 5 Minuten dünsten. Die Erbsen dazugeben und 1-2 Minuten dünsten.
3. Gemüse mit dem in Würfel geschnittenen Schinken und den Nudeln mischen. In einen mit Öl gefetteten GN-Behälter füllen.
4. Für die Soße die Eier mit dem Joghurt, der Milch und den Gewürzen mischen und über den Auflauf gießen. Mit geriebenem Käse bestreuen und bei 200°C ca. 15-20 Minuten garen.";"Nudeln
(ohne Ei)";80 g;Rapsöl;2 ml;Paprikaschoten;30 g;Erbsen;45 g;Schinken (gekocht);25 g;Tomatenpüree;10 g;Eier;0.3;"Joghurt
(1,5 % Fett)";20 g;"Milch
(1.5% Fett)";20 ml;Salz, Pfeffer;;Paprikapulver;;"Gouda
(45% Fett)";16 g;;;;;;;;;;;;;;;;;;Laktose;;35;einfach;Mittagessen;Pasta & Co;Mittagessen,Pasta & Co,Laktose,Herzhaft;;https://www.fitkid-aktion.de/rezepte/rezeptdatenbank/?tx_wwrecipe_fe1%5Brecipe%5D=480&tx_wwrecipe_fe1%5Baction%5D=show&tx_wwrecipe_fe1%5Bcontroller%5D=Recipe&cHash=3b7c0052ce121e7addc1d15e625736d2
